"no";"title";"descr";"year";"imgLink";"genre"
217;"인디아나 존스: 크리스탈 해골의 왕국";"냉전이 최고조에 다다른 1957년. 인디아나 존스(해리슨 포드)는 친한 동료 맥(레이 윈스톤)과 함께 소련의 한 비행장에서 목숨을 위협하는 소련 특수부대 이리나 스팔코(케이트 블란쳇) 일당의 추격을 피해 힘겹게 탈출한다. 일상으로 돌아간 인디아나 존스는 대학에서 고고학 강의를 하며 평범하게 지내고 싶어하지만 소련에서의 탈출 사건과 고고학 연구에 관련해 자신의 교수직을 해고하려는 정부의 또 다른 압력이 있다는 것을 알게 된다. 어쩔 수 없이 모든 것을 정리하고 대학을 떠나려던 찰나, 그의 앞에 반항기 가득한 청년 머트 윌리암스(샤이아 라보프)가 나타나는데...";"2008-05-21";"https://image.tmdb.org/t/p/original/fUr6qCTaXwWEc3A8X6NqtebRgaL.jpg";"[12,28]"
218;"터미네이터";"1997년, 인간이 만든 인공지능 컴퓨터 전략 방어 네트워크가 스스로의 지능을 갖추고는 인류를 핵전쟁의 참화을 일으켜 30억이라는 인류를 잿더미 속에 묻어버린다. 그리고 남은 인간들은 기계의 지배를 받아 시체를 처리하는 일 등에 동원된다. 이때 비상한 지휘력과 작전으로 인간들을 이끌던 사령관 존 코너는 반기계 연합을 구성, 기계와의 전쟁을 시작하면서 상황은 반전된다. 이에 기계는 존 코너의 탄생 자체를 막기 위해 2029년의 어느 날 타임머신에 터미네이터를 태워서 1984년의 L.A로 보내게 된다.";"1984-10-26";"https://image.tmdb.org/t/p/original/y6FmrimVoBBKsERc08VyVP1NyNs.jpg";"[28,53,878]"
219;"귀향";"마드리드에 살고 있는 젊고 아름다운 라이문다는 한없이 거칠고 희망이라고는 보이지 않는 일상을 살아간다. 그녀는 기둥서방과 다름없는 남편과 사춘기에 접어든 딸을 둔 실질적 가장으로 모든 현실이 짐스럽기만 하지만, 뭐든지 해내는 억척스런 생활력으로 가정을 이끌어 가고 있다. 그리고 어느 날 밤, 그녀의 딸 파울라가 성추행 하려는 아버지를 칼로 찔러 죽이는 사건이 벌어진다..!";"2006-03-17";"https://image.tmdb.org/t/p/original/sdqKZQxEYLSXOoto55oZ6uAMRD4.jpg";"[35,18,10749]"
220;"에덴의 동쪽";"1917년, 캘리포니아 사리나스에서 농장을 경영하는 아담 트라스크는 두 아이들이 있다. 큰 아들 아론은 모범 청년이었지만 둘째 칼은 성격이 거칠고 언제나 불만에 찬 눈초리이다. 아담에게는 아내 케이트가 있었는데 그녀는 칼을 낳자 남편과 자식을 버리고 집을 나가 그는 아내는 죽었다고 생각하면서 살고 있고 그의 아들들 역시 어머니는 돌아가신 걸로 알고 있다. 아버지 아담은 아들 칼을 그런 부도덕한 아내의 피가 흐른다고 믿고 미워했으며 신앙심이 두텁고 공부를 잘하는 아론을 신뢰하고 사랑했다. 칼은 그런 아버지에게 반항하고 어머니가 도박장을 경영하는 빠의 마당으로 있다는 얘기를 듣고 어느날 기차에 모임승차하여 근처의 어항인 몬트레이로 가 그곳에서 어머니를 만난다. 그러나 칼은 생모에게 그리움과 동시에 그녀의 부도덕한 생활에 혐오감을 느낀다.한편 양배추에 얼음을 재어 뉴욕으로 보내는 새로운 사업을 시작한 아담은 양배추를 실은 열차가 사고를 일으키는 바람에 어름이 녹아서 양배추는 모두 썩어버리고 아담은 한번에 모든 것을 날려버린다. 무일푼인 아버지를 기쁘게 해드리고 싶어었던 칼은 곧 전쟁이 일어날 것이라는 예측을 하고 어머니에게 5천 달러를 얻어 그 돈으로 콩을 매점한다. 칼은 형과 형의 애인인 애브라와 유원지에서 우연히 만난다. 아론이 칼과 애브라 사이를 질투하여 이들 형제가 싸우는 모습을 보고 애브라는 아론보다 인간적인 따스함과 격정을 지닌 칼에게 서서히 마음이 이끌린다.하지만, 아론이 아버지 아담의 생일날 둘 사이의 약혼을 발표하여 이를 부친의 생일 선물로 바치고 아담도 기뻐한다. 반면 칼은 콩을 팔아서 번 돈 오천달러를 아버지에게 드리지만 전쟁을 이용해 번 돈이라고 도리어 심한 꾸중만 듣는데...";"1955-04-10";"https://image.tmdb.org/t/p/original/t4wo78CXiXbartB1GbINcTDileG.jpg";"[18,10749]"
223;"레베카";"평범하고 수줍음 잘 타는 그녀는 몬테 카를로에서 몇년 전 아내 레베카와 사별한 부유한 신사 맥심을 만나 사랑에 빠진다.  그녀는 아직도 전처를 잃은 슬픔에 다소 불안정한 심리 상태의 맥심과 결혼 후 그의 대저택 '맨덜리'에 입성한다.  아름답지만 음산하고 기묘한 분위기를 풍기는 대저택 ‘맨덜리’는 죽은 레베카가 마치 살아 숨쉬고 있는 것처럼 레베카에게 깊게 물들어 있다.  집사 댄버스 부인 마저 시종일관 무표정함을 유지하며 경계심을 드러내 그녀를 노이로제 상태로 몰아간다.  하지만 남편 맥심은 자신의 심적 고통 때문에 미처 그녀에게 신경을 쓰지 못하고  그들 부부의 결혼 생활은 위기를 맞이하게 된다.  어느 비 바람 몰아치던 저녁, ‘맨덜리’ 저택의 비밀이 드러날 사건이 일어나는데…";"1940-03-23";"https://image.tmdb.org/t/p/original/x26NYg80p5G8XsBxrZ5jsB0wXKS.jpg";"[9648,18,53,10749]"
226;"소년은 울지 않는다";"네브라스카 주의 링컨이라는 작은 도시에 사는 티나 브랜던(Teena Brandon/Brandon Teena: 힐러리 스웽크 분)은 절도 혐의로 수배 중이다. 그녀는 수배를 피해 장난삼아 머리를 자르고 남장을 한다. 남장을 하고 우연히 들른 술집에서 치한에게 놀림을 당하던 캔디스(Candace: 알리시아 고랜슨 분)라는 여자를 도와준 인연으로 티나 브랜던은 그녀의 집에 머물며, 그녀의 친구들과 친하게 지낸다.  작은 시골 마을 풀즈에서 지금까지 그녀가 살아왔던 것과는 전혀 다른 새로운 인생을 살게 된다. 이젠 남자로서. 그곳에서 만난 친구들은 그녀에게 남자로서의 새로운 경험들을 제공한다. 이런 경험들은 지금까지 그녀가 잊고 지내던, 또한 억누르고 지내야 해던 남자로서의 본능과 너무나도 잘 맞았다. 더욱 중요한 것은 그녀에게 이제 당당한 여자 친구가 생겼다는 것이다. 친구의 이름은 라나 티셀로 보랜든과는 여로모로 잘 맞았다. 그러나 그녀에게는 그녀를 좋아하던 남자 친구 존(John: 피터 사스가드 분)이 있었다.  존은 친구 탐(Tom: 브렌든 섹스톤 3세 분)과 함께 강도짓도 서슴없이 하고 다니는 거친 성격의 소유자였다. 그러다보니 티나, 아니 이제는 브랜던 티나로 이름을 바꾼 브랜던과의 불편한 사이가 계속된다. 브랜던이 운전하던 자동차가 과속으로 경찰의 단속에 걸리게 되고 그 자리에서 위조된 면허증을 제시한 것이 발각되어 며칠 후, 남장을 했던 그녀의 정체가 드러나게 된다. 그리고 이 사실을 알게 된 존과 탐은 브랜던을 발가벗기고 그녀가 여자임을 밝힌다. 여기에 존의 복수심과 질투심은 급기야 여자로서의 정체가 온마을에 드러난 브랜던을 성폭행하는 일까지 벌어지게 되는데.";"1999-09-02";"https://image.tmdb.org/t/p/original/zgctotyLbWqCzLQhPwCpvhd70b3.jpg";"[80,18]"
227;"아웃사이더";"오클라호마의 어느 도시는 남쪽 마을의 부자 백인 마을과 북쪽 마을의 가난한 백인 마을로 양분되어 있다. 남쪽 마을 아이들은 좋은 옷을 빼어입고 무스탕 차를 몰고 다니며 뽐내는 반면에, 북쪽의 빈민촌 아이들은 부모가 아예 없이 학교도 못 가고 생활비를 벌어야 하는가 하면, 매일 부부 싸움을 하는 부모가 싫은 나머지 집에 들어가기를 꺼리는 등등 열악한 환경에서 자라난다. 어릴 때 교통사고로 부모를 잃고 큰형 대릴, 작은 형 소다팝과 함께 생활하는 포니보이는 소설책 읽기를 좋아하고 로버트 프로스트의 시를 암송하는 감수성 예민하고 문학소질이 있는 소년이다. 한편 포니보이의 친구 쟈니는 엄마 아빠가 매일 부부 싸움을 하는 통에 집에 들어가기가 아예 싫은 소년이다. 그리고 이들 두 소년 보다 나이가 많은 댈러스는 뉴욕에 가서 마구잡이 생활을 하다가 감옥까지 갔다 온 터프한 아이다.  어느날 이들은 드라이브인 극장에 갔다가 남쪽 부자마을 여자애들인 체리와 마샤를 만난다. 사리 판단이 분명하고 똑똑한 여학생인 체리는 싱거운 농담을 걸어오는 댈러스를 쫓아버리고 포니보이, 쟈니, 투빗과 말문을 튼다. '그리저'라 불리는 빈촌 아이들과 '쏘시'라 불리는 부촌 아이들은 같은 학교에 다니면서도 서로 말도 하지 않는 적대적 관계이기 때문에, 체리와 마샤가 포니보이 일행과 어울리는 것을 보고 화가 난 쏘시 남자 아이들은 그날밤 공원에서 포니보이와 쟈니를 붙잡는데...";"1983-03-25";"https://image.tmdb.org/t/p/original/pl8Tf36TAOb2i561yPbQ9xl4P4D.jpg";"[80,18]"
229;"프랑켄슈타인의 신부";"프랑켄슈타인 박사는 오랜 시간의 연구 끝에 그의 두번째 창조물로 아름다운 여인을 만들어 낸다. 첫번째 창조물인 빅터와, 두번째 창조물인 젊고 아름다운 에바는 모두 인간 신체의 각 부분들을 프랑켄슈타인 박사가 조합해 새로운 생명체로 만드는 과정을 거쳐 탄생했다.어느날, 프랑켄슈타인 박사의 집과 연구실에 불이 나고 폭풍우가 치면서 그들의 거처가 파괴되는 사건이 발생한다. 빅터는 혼자 힘으로 트랜실베니아로 가서 살기 시작하고, 에바는 프랑켄슈타인 박사의 인도 아래 그와 함께 살게 된다. 프랑켄슈타인은 세상에 대해 아무것도 모르는 에바를 교육시키면서 마치 상류계급의 젊고 매력적인 숙녀처럼 만들어 나가는데...";"1935-04-20";"https://image.tmdb.org/t/p/original/5241zUwe7rC17MNc2QpCBKKdp1N.jpg";"[18,27,878]"
231;"시리아나";"CIA요원에서부터 파키스탄 이민노동까지 각기 다른 네 명의 이야기를 통해 석유이권을 둘러싼 정치적 음모와 배신, 권력의 부패를 파헤치는 음모 스릴러";"2005-11-23";"https://image.tmdb.org/t/p/original/ure2nBJ5jXHGICPPRIq6J18F9ry.jpg";"[18,53]"
232;"럼블 피쉬";"러스티 제임스는 작은 폭력 조직의 우두머리이다. 그는 항상 집을 떠난 형에 대한 존경과 그리움 속에서 살고 있다. ‘모터사이클 보이’라 불리던 러스티의 형은 지역 최고의 갱스터였지만 어느날 마을을 떠났다. 하지만 러스티는 다른 조직과 싸움을 시작하며 분쟁을 일으킨다.";"1983-10-20";"https://image.tmdb.org/t/p/original/nwIUWs7cexC8Wk9c6ey8nFltAZd.jpg";"[28,80,18]"
234;"칼리가리 박사의 밀실";"북독일의 시골에서 온 칼리가리 박사는 체저레라고 하는 남자에게 최면술을 걸어 예언자라고 하여, 동네를 돌게 한다. 그는 몽유병자인 케사르를 넣고 다니면서 사람들에게 죽음을 예언하고, 그 예언을 적중시키기 위해 살인을 저지른다. 결국 그의 정신병자적인 면모가 밝혀진다.";"1920-02-27";"https://image.tmdb.org/t/p/original/bktNGUv8x54gMlgiTp6qUOHzVh5.jpg";"[18,27,53,80]"
235;"스탠 바이 미";"오레곤주의 작은 마을 캐슬록. 섬세한 성격으로 문학에 소질이 있는 고디, 알콜 중독인 아버지 밑에서 갑갑한 생활을 하지만 타고난 리더쉽으로 동네 꼬마들을 지휘하는 크리스, 2차대전의 영웅이었던 아버지를 존경하는 열정의 소년 테디, 착한 꼬마 뚱보 번은 이 마을에서 사는 단짝 친구들이다. 어느 날 번은 패거리들에게 며칠 전 행방불명된 소년의 시체가 저멀리 숲속에 있다는 소식을 전해준다. 만약 시체를 찾아낸다면 마을의 영웅이 되는 것. 네 명의 소년은 호기심과 모험심을 억누르지 못하고 숲을 향해 여행을 떠난다.";"1986-08-08";"https://image.tmdb.org/t/p/original/gLYbrbNQrw08CYPyCQxAKTmtRvM.jpg";"[80,18]"
236;"뮤리엘의 웨딩";"가족에게도, 친구에게도 사랑받지 못하는 뮤리엘은 스스로에게 새로운 삶을 선물하기로 한다.  “내 이름은 M-a-r-i-e-l, 마리엘! 새로 태어났어”  새 장소, 새 친구, 새 직장!  그리고 평생을 꿈꿨던 결혼까지 했지만,  뮤리엘의 꿈처럼 마리엘의 삶은 행복하지 않고…  과연 뮤리엘은 ‘아바’ 노래보다 더 근사한 인생을 쟁취할 수 있을까?";"1994-09-29";"https://image.tmdb.org/t/p/original/1biXIJPHyWR2En8P4xImQ15D45r.jpg";"[35,18,10749]"
237;"영 아담";"젊지만 근거지 없는 방랑자 '조 테일러'는 글래스고와 에딘버러 사이를 떠돌다가 '레스'와 그의 아내 '엘라' 소유의 바지선에서 직업을 구하게 된다. 어느 날 오후, 그들은 운하에 떠내려 온 벌거벗은 젊은 여자의 익사체를 발견하게 된다.  '조'가 건져올린 시체를 두고 '타살'인지 '자살'인지 마을 사람들은 술렁이기 시작한다. 경찰의 수사가 진행되면서 타살 가능성이 제기되고, 유력한 용의자가 검거되는 과정에서 과거와 현재가 교차되며 살인에 얽힌 의문점들이 서서히 풀려나간다. 한편, 바지선이라는 폐쇄된 공간에서 시간이 흐를수록 서로의 묘한 매력에 끌리게 되는 '조'와 '엘라'. 급기야 남편의 눈을 피해 둘의 관계는 격정으로 치닫고 팽팽한 긴장감 속에 더욱 더 강렬해진다. 하지만 시간이 지날수록 '조'가 익사체로 떠오른 여인에 대해 뭔가 많은것을 알고 있다는 것이 밝혀지면서 이야기는 예상치 못한 방향으로 흘러가기 시작한다.";"2003-09-26";"https://image.tmdb.org/t/p/original/kaOEN00iAo6PCOZOaf8iulRtM3p.jpg";"[18,53,80,10749]"
238;"대부";"시실리에서 이민온 뒤, 정치권까지 영향력을 미치는 거물로 자리잡은 돈 꼴레오네는 갖가지 고민을 호소하는 사람들의 문제를 해결해주며 대부라 불리운다. 한편 솔로소라는 인물은 꼴레오네가와 라이벌인 탓타리아 패밀리와 손잡고 새로운 마약 사업을 제안한다. 돈 꼴레오네가 마약 사업에 참여하지 않기로 하자, 돈 꼴레오네를 저격해 그는 중상을 입고 사경을 헤매게 된다. 그 뒤, 돈 꼴레오네의 아들 소니는 조직력을 총 동원해 다른 패밀리들과 피를 부르는 전쟁을 시작하는데... 가족의 사업과 상관없이 대학에 진학한 뒤 인텔리로 지내왔던 막내 아들 마이클은 아버지가 총격을 당한 뒤, 아버지를 구하기 위해 위험천만한 협상 자리에 나선다.";"1972-03-14";"https://image.tmdb.org/t/p/original/cOwVs8eYA4G9ZQs7hIRSoiZr46Q.jpg";"[18,80]"
239;"뜨거운 것이 좋아";"색스폰 연주자인 조와 베이스 바이올린 연주자 제리는 갱단의 살인장면을 우연히 목격하게 된다. 얼굴이 노출되고 얼떨결에 갱들에게 쫓기는 신세가 되어 버린 두 사람은 도시를 무사히 빠져나갈 방법을 궁리하게 된다. 유일한 방법은 여자로 변장하고 마이애미로 향하는 여성순회 공연단에 숨어드는 것. 감쪽같이 변장하고 오디션을 통과한 두 사람은 아름다운 여인들과 그야말로 꿈만 같은 생활을 시작하게 된다. 그 중에서도 극단의 리드싱어인 슈가에게 홀딱 반해버린 조는 서서히 그녀와 가까워진다. 조는 그녀가 좋아하는 남성상으로 자신을 위장하고 그녀에게 접근하는데...";"1959-03-19";"https://image.tmdb.org/t/p/original/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg";"[35,10402,10749,80]"
240;"대부 2";"아버지의 장례식 도중에 맏아들 파올로가 총에 맞아 죽고, 비토(로버트 드니로)는 겨우 도망쳐 미국으로 건너온다. 대부로 성장한 후 비토는 다시 치치오를 찾아 복수를 한다. 새롭게 등장한 젊은 대부 마이클(알 파치노)은 본거지를 라스베가스로 옮기고 가족의 사업을 가능한 합법적인 것으로 바꾸려고 애쓴다. 그런 과중 중에 자신을 제거하려는 음모를 알게되고 그는 냉혹하고 신속하게 반대파들을 제거, 조직을 더욱 확대해 나간다. 이를 위해 마이클은 배신한 형마저 죽이고, 일 때문에 아내와 헤어지는 등 인간적으로는 계속 외로워져 가는데...";"1974-12-20";"https://image.tmdb.org/t/p/original/cj9UsJEN5bNf6ZoF1BbKjKN81hc.jpg";"[18,80]"
241;"올리버 스톤의 킬러";"사회에 대한 불만과 증오에 가득찬 미키(우디 해럴슨)와 말로리(줄리엣 루이스)는 666번 국도를 따라 여행하는 자신들의 '허니문'에서 충동적인 살인사건을 벌인다. 미디어는 50명을 넘게 죽인 이들의 행각을 앞다투어 대서특필하고,열광한 10대들은 둘을 영웅처럼 받들며 옷차림이나 행동을 따라하기 시작하는데...";"1994-08-25";"https://image.tmdb.org/t/p/original/2Lg9UrAv6MBqtUOG7cvizUDYzfq.jpg";"[80,53,18]"
242;"대부 3";"이제는 60대의 노인이 되어버린 마이클(알 파치노)은 거대해진 패밀리의 강력한 자금력을 바탕으로 합법적인 사업으로 전환하는데 힘쓴다. 이 과정에서 특히 그는 바티칸 은행의 책임을 맡고 있는 대주교와 거래하므로써 이러한 합법적인 사업을 행할 수 있었고 바티칸의 대주교 역시 마이클의 사업에 참여하여 이익을 얻고 있었다. 이러한 그의 계획에 젊은 보스 조이 자자(죠 맨테그나)가 정면으로 도전해오고, 마이클 자신도 습격을 받는다. 그러나 일단 도전을 받은 이상 응하지 않을 수가 없고, 자자의 뒤에는 그의 계획을 방해하는 거대한 조직의 음모가 도사리고 있었는데...";"1990-12-25";"https://image.tmdb.org/t/p/original/gh2ShN6ku8VOT8wNyEOgZQwhNtE.jpg";"[80,18,53]"
244;"킹콩";"기록영화 제작자 데남은 공룡과 싸우면서 신장 18미터의 섬의 왕자, 킹콩을 사로잡아 뉴욕으로 데리고 돌아온다. 하지만 카메라 플래쉬에 놀란 킹콩은 창살을 부수고 뛰쳐나와 사랑하는 앤을 붙잡아 엠파이어 스테이트 빌딩의 옥상으로 오른다. 그러나 복엽기로 공격을 받고, 앤을 지키면서 부상입은 킹콩은 떨어져서 죽는다.";"1933-03-15";"https://image.tmdb.org/t/p/original/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg";"[12,27,14]"
245;"어바웃 어 보이";"""인간은 섬이 아니다!""  부모가 물려준 유산으로 백수생활을 하는 미혼남 '윌 프리먼(휴 그랜트)'은 스스로 결혼이라는 무덤 속으로 걸어 들어가는 친구들을 보며 항상 의아해 한다. 그리고 여자와 즐기는 것 그 이상은 생각치 않는 그는 여자들이 결혼하자고 다가오면 온갖 핑계를 대 미꾸라지 같이 여자들을 따돌린다.  어느날 어떻게 하면 자신의 자유를 포기하지 않으면서 가볍게 즐길 수 있는 상대를 찾을 수 있을까 궁리하던 그는 혼자 아이를 키우는 엄마들이야 말로 자신의 조건에 딱 부합되는 상대라는 결론에 도달한다. 남자에게 적당히  굶주려 있는 데다 특별히 책임을 느낄 필요가 없기 때문이다.  혼자 사는 여자를 낚기 위해 '혼자 아이를 키우는 부모들의 모임'에 참가하게 된 윌은 그 곳에서 12살짜리 왕따 소년 '마커스(니콜라스 호울트)'를 만나게 되고, 외롭고 소극적인 마커스에게 마치 아빠와 같은 책임감으로 '멋진 남자가 되는 법'을 가르치기 시작한다.  그러나, 시간이 지날수록 자신이 마커스를 성장시키는 것이 아니라, 그 자신이 점차 성숙한 어른이 되어가는 것을 느끼게 되는데...";"2002-04-26";"https://image.tmdb.org/t/p/original/axDkrwk0AsConGSf5UpdmP0yZuI.jpg";"[18,35,10749]"
251;"사랑과 영혼";"금융전문가로 일하는 샘(페트릭 스웨이지)과 도예가인 몰리(데미 무어)는 동거생활을 하며 행복한 나날을 보낸다. 그러던 어느날 샘이 괴한의 총에 맞아 죽게 되는데, 육체에서 분리된 영혼은 지상에 남게 된다. 홀로 남겨진 몰리를 보호하고자 하는 샘은 지하철에서 만난 영혼으로부터 물건을 움직일 수 있는 방법을 배운다.  그러나 자신의 존재를 몰리에게 알릴 길이 없어 고심하던 샘은 점성술사 오다매(우피 골드버그)를 찾아가는데...";"1990-07-12";"https://image.tmdb.org/t/p/original/rSeZX5l4T9XcIXCG1sq1YglqTjB.jpg";"[14,18,53,9648,10749]"
252;"초콜렛 천국";"세계적인 초콜릿과 과자 재벌 윌리 윙커(Willy Wonka: 진 와일더 분)는 어느날 100개의 초콜릿 상자 속에 단 5개의 황금 티켓을 넣어 발매하였다는 발표를 한다. 티켓을 찾아낸 어린이들은 평생 동안 웡카 초콜릿을 무상으로 공급받을 수 있고, 비밀에 싸인 웡카 공장의 견학을 할 수 있는 자격이 생긴다. 온세계는 웡카 열풍에 휩싸이고, 어른이며 애며 할 것없이 웡카 초콜릿을 박스째로 사다가 뜯어본다. 한반 아이들은 평균 수백개의 초콜릿을 사본 경험이 있을 정도로 대 인기를 얻은 이벤트가 되었다. 하지만, 집이 가난한 찰리(Charlie: 피터 오스트럼 분)는 친조부모와 외조부모, 그리고 혼자된 어머니를 모시고 살며, 가족의 끼니 걱정을 하는 어린이이다. 수백개의 상자를 뜯고 있는 사람들의 모습은 찰리에겐 너무나도 먼 일이지만, 할머니와 할아버지들은 어렵게 모은 돈으로 찰리에게 웡카 초콜릿을 선물한다. 헛된 꿈을 키우는 것을 원치않는 찰리의 어머니는 반대하지만, 겉으로 내색않는 찰리에게도 남들의 이야기는 마냥 부럽다. 영국, 미국, 독일 등지에서 황금 티켓을 가진 어린이들이 나타난다. 마지막 한개의 티켓은 남미의 어느 나라에서 발견되고 찰리에게는 더 이상 별다른 희망이 없다. 길을 걷다가 커다란 은화를 발견한 찰리는 먹고 싶던 초콜릿을 두 개 산다. 하나는 자신을 위해 하나는 할아버지(Grandpa Joe: 잭 알버트슨 분)를 위해. 그때, 남미에서 발견된 황금 티켓이 위조된 것이라는 뉴스 발표가 나온다. 찰리는 할아버지를 위해 남겨둔 마지막 초콜릿 포장을 뜯고. 그 안에 든 것은 이제 전 세계에 단 하나 남은 황금티켓. 한명의 동반자만을 허용한다는 웡카 회사의 이야기를 들은 찰리는 할아버지와 함께 가기로 하고, 공장 견학의 날, 다섯 어린이들은 각자의 부모와 함께 공장앞에 모인다. 윌리 웡카가 안내하는 초콜릿 공장. 어린이들은 이제껏 어디서도 본 적 없는 꿈과 환상의 세계에 들어가게 되는데.";"1971-06-29";"https://image.tmdb.org/t/p/original/pPQyzY6q1uMfHZDeO0igy63DFbZ.jpg";"[10751,14,35]"
253;"007 죽느냐 사느냐";"24시간 동안 뉴욕, 뉴 올리언즈, 산 모니크에서 세 명의 영국 정보부 요원이 잇따라 피살된다. 세 사건이 서로 연관된 것이라 생각한 M의 지시를 받은 제임스 본드는 CIA 요원 필릭스 라이터와 함께 사태의 규명에 나선다. 미국에 도착하여 CIA로 향하던 007은 괴한의 습격을 받지만, 펠릭스의 도움으로 위기를 면한다. 헤로인 시장의 독점을 통해서 미국 경제를 지배하려는 산 모니크의 수상 커냉가 일당의 계획을 저지하기 위해 본드의 추적이 시작되고, 그 와중에  카드점으로 모든 일을 알아내는 아름다운 점술사 솔리테어와의 사랑이 무르익는데...";"1973-07-05";"https://image.tmdb.org/t/p/original/plLI68PhR6kgQvpk3Eo86ixW08i.jpg";"[12,28,53]"
254;"킹콩";"신비로운 해골섬의 전설적인 야수 '킹콩', 뉴욕으로 잡혀 온‘킹콩’이 도심 한복판에서 벌이는 숨막히는 액션과 환상적인 로맨스가 펼쳐진다!  새로운 작품에 대한 열정이 넘치던 영화감독 칼 덴햄(잭 블랙)은 거리에서 우연히 발굴한 매력적인 여인 앤 대로우(나오미 왓츠)와 지적인 시나리오 작가 잭 드리스콜(애드리안 브로디)과 함께 영화 촬영을 위해 지도상에도 존재하지 않는 미지의 공간인 해골섬을 찾아 떠난다.  그리고 수억만 년 전의 고대 정글이 고스란히 존재하는 해골섬에서 그들은 전설로만 들어왔던 거대한 킹콩과 맞닥뜨린다. 해골섬의 원주민들에게 붙잡혀 제물로 바쳐진 앤의 아름다움에 매료된 킹콩. 갑자기 섬에 존재하는 잔인한 공룡이 나타나 그녀를 공격하고 킹콩은 공룡과 혈전을 벌이며 그녀를 지켜낸다.  그러나 탐욕스러운 욕망에 사로잡힌 감독 덴햄은 킹콩이 앤에게 마음을 빼앗긴 틈을 타 킹콩을 뉴욕으로 생포해온다. 뉴욕 도심에서 사람들의 구경거리로 전락한 킹콩의 분노는 극에 달하고 야수의 본능을 드러내며 뉴욕 도심을 휩쓸기 시작한다. 인간들은 거대 병력을 동원해 킹콩에게 빗발치는 공격을 퍼붓고 킹콩은 공격을 피해 앤을 데리고 엠파이어 스테이트 빌딩으로 올라간다. 빌딩 꼭대기에서 거대한 위용을 드러내며 포효하는 킹콩. 사랑하는 앤을 보호하기 위해 잔인한 인간들에 맞서 처절한 사투를 벌이는데... 과연 거대한 야수 킹콩은 인간과의 대결에서 살아남을 것인가! 수억만 년 동안 잠들어있던 거대한 야수 킹콩의 전설이 드디어 뉴욕 도심을 뒤흔들며 다시 깨어난다!";"2005-12-12";"https://image.tmdb.org/t/p/original/fpYQjW9w0GlZxVS2fe3m7tDixzU.jpg";"[12,18,28]"
257;"올리버 트위스트";"고아인 올리버는 어린 나이에 강제노역을 당하게 되는데, 배고픔을 이기지 못하고 밥을 더 달라는 요구를 하다 문제아로 낙인이 찍힌다. 강제 노역소 관리자는 문제아로 찍힌 올리버를 장의사에게 넘긴다. 장의사 사무실에서 조금은 안정된 삶을 찾았지만 이내 장의사 집 아들과 말다툼으로 도망가게 된다. 무작정 도망 나온 올리버는 런던으로 향한다. 아는 사람이 아무도 없는 런던에서 올리버는 소매치기 다저를 만난다. 우연한 기회로 다저 일행과 같이 살게 된 올리버. 소매치기 수업을 착실히 받던 올리버는 실전을 시작한 첫날부터 경찰에 잡힌다. 올리브를 자신의 물건을 훔친 범인으로 오해한 브라운 로우 씨는 올리브를 자신의 밑에서 일하게 한다. 다저 일행은 올리버가 자신들의 정체를 밝힐까 두려워 올리버를 납치해 감금하지만, 올리버를 불쌍히 여긴 다지 일행의 낸시는 브라운로우에게 올리버에 대한 정보를 알려주고 올리버를 구출한다.";"2005-09-23";"https://image.tmdb.org/t/p/original/9gWuQzAWU13E0RzIzdSEna5PSql.jpg";"[80,18,10751]"
267;"라이브 플래쉬";"교도소에 수감 중인 빅토르(리베르토 리발)는 우연히 TV를 보다, 농구 스타이자 자신이 사랑한 엘레나(프란세스카 네리)의 남편이 되어있는 다비드(하비에르 바르뎀)를 보고 분노한다. 출소 후, 빅토르는 엘레나가 일하는 아동보호소에서 자원봉사 활동을 하며 그녀와 가까워질 기회를 노린다. 이 사실을 알게 된 다비드는 빅토르를 찾아가는데…";"1997-10-10";"https://image.tmdb.org/t/p/original/ihFKthUgFqKIIsuwM9Dm7vr3QR0.jpg";"[18,53,10749]"
268;"배트맨";"범죄와 부패, 탐욕의 도시 고담에 정체불명의 배트맨이 나타나 공포와 위협으로부터 시민들을 구한다. 모든 시민들은 배트맨의 활약상을 보면서 그에 대한 궁금증을 더해간다. 고담시의 모두가 배트맨에 대해 궁금해 하고 있을때 전쟁터에서 활약한 경험까지 있는 유능한 사진기자 비키 베일(킴 베이싱어)은 동료 기자와 함께 배트맨을 취재한다. 그러나 비키 앞에는 매력적인 의문의 백만장자 브루스 웨인(마이클 키튼)이 등장한다. 매력적이고 의문투성이인 이 젊은 부호는 점점 비키와 가까워지고 배트맨으로 인해 모습이 변해버린 악당 조커는 배트맨에게 복수를 다짐한다.";"1989-06-23";"https://image.tmdb.org/t/p/original/khecUm6w7McucBT2rt2UVttSkO1.jpg";"[14,28]"
